 Loan Number ,Disbursement Date,Loan Term,Loan Amount,Closing Balance,Interest Rate,Admin Fee,Credit Insurance Fee,Loan Type
"100,120,684,000,207",08/02/2021,6,1025,4.48,0.0025,0.02,0.017,B2B
"100,120,684,000,208",03/03/2021,6,200,0.05,0.0025,0.02,0.017,B2B
"100,120,684,000,209",03/03/2021,3,300,2.82,0.0025,0.02,0.017,B2B
"100,120,684,000,210",03/03/2021,5,400,0.74,0.0025,0.02,0.017,B2B
"100,120,684,000,211",03/03/2021,6,1000,0.19,0.0025,0.02,0.017,B2B
"100,120,684,000,212",03/03/2021,6,500,0.09,0.0025,0.02,0.017,B2B
"100,120,684,000,213",03/03/2021,6,1500,0.26,0.0025,0.02,0.017,B2B
"100,120,684,000,214",03/03/2021,6,800,0.15,0.0025,0.02,0.017,B2B
"100,120,684,000,215",03/03/2021,6,1000,0.19,0.0025,0.02,0.017,B2B
"100,120,684,000,216",03/03/2021,6,1000,0.19,0.0025,0.02,0.017,B2B
"100,120,684,000,217",03/03/2021,6,400,0.07,0.0025,0.02,0.017,B2B
"100,120,684,000,218",03/03/2021,6,800,0.15,0.0025,0.02,0.017,B2B
"100,120,684,000,219",03/03/2021,5,420,3.27,0.0025,0.02,0.017,B2B
"100,120,684,000,220",31/03/2021,6,600,0.72,0.0025,0.02,0.017,B2B
"100,120,684,000,221",30/03/2021,6,1800,0.18,0.0025,0.02,0.017,B2B
"100,120,684,000,222",30/03/2021,6,450,4.55,0.0025,0.02,0.017,B2B
"100,120,684,000,223",30/03/2021,6,1300,3.13,0.0025,0.02,0.017,B2B
"100,120,684,000,224",31/03/2021,6,650,5.29,0.0025,0.02,0.017,B2B
"100,120,684,000,225",30/03/2021,6,500,15.06,0.0025,0.02,0.017,B2B
